Idx_Sample,(W/C) [Water/Cement ratio],[CEM]Cement content,[F/C] Factor Fine/Coarse (*),Fine Rec Agg % (**),Coarse Rec Agg % (***),RAg.T [Recycled Aggregates Types] (****),fc 28d (Mpa),Cost
1,0.6,320,0.75,80,0,0,,
2,0.6,320,0.75,100,0,0,,
3,0.55,320,0.75,80,0,0,,
4,0.55,320,0.75,100,0,0,,
5,0.5,320,0.75,80,0,0,,
6,0.5,320,0.75,100,0,0,,
7,0.45,320,0.75,80,0,0,,
8,0.45,320,0.75,100,0,0,,
9,0.6,300,0.75,80,0,0,,
10,0.6,300,0.75,100,0,0,,
11,0.55,300,0.75,80,0,0,,
12,0.55,300,0.75,100,0,0,,
13,0.5,300,0.75,80,0,0,,
14,0.5,300,0.75,100,0,0,,
15,0.45,300,0.75,80,0,0,,
16,0.45,300,0.75,100,0,0,,
17,0.6,280,0.75,80,0,0,,
18,0.6,280,0.75,100,0,0,,
19,0.55,280,0.75,80,0,0,,
20,0.55,280,0.75,100,0,0,,
21,0.5,280,0.75,80,0,0,,
22,0.5,280,0.75,100,0,0,,
23,0.45,280,0.75,80,0,0,,
24,0.45,280,0.75,100,0,0,,
25,0.6,260,0.75,80,0,0,,
26,0.6,260,0.75,100,0,0,,
27,0.55,260,0.75,80,0,0,,
28,0.55,260,0.75,100,0,0,,
29,0.5,260,0.75,80,0,0,,
30,0.5,260,0.75,100,0,0,,
31,0.45,260,0.75,80,0,0,,
32,0.45,260,0.75,100,0,0,,
33,0.6,200,0.75,80,0,0,,
34,0.6,200,0.75,100,0,0,,
35,0.55,200,0.75,80,0,0,,
36,0.55,200,0.75,100,0,0,,
37,0.5,200,0.75,80,0,0,,
38,0.5,200,0.75,100,0,0,,
39,0.45,200,0.75,80,0,0,,
40,0.45,200,0.75,100,0,0,,
41,0.7,320,1,80,0,0,,
42,0.7,320,1,100,0,0,,
43,0.65,320,1,80,0,0,,
44,0.65,320,1,100,0,0,,
45,0.7,300,1,80,0,0,,
46,0.7,300,1,100,0,0,,
47,0.65,300,1,80,0,0,,
48,0.65,300,1,100,0,0,,
49,0.7,280,1,80,0,0,,
50,0.7,280,1,100,0,0,,
51,0.65,280,1,80,0,0,,
52,0.65,280,1,100,0,0,,
53,0.7,260,1,80,0,0,,
54,0.7,260,1,100,0,0,,
55,0.65,260,1,80,0,0,,
56,0.65,260,1,100,0,0,,
57,0.7,200,1,80,0,0,,
58,0.7,200,1,100,0,0,,
59,0.65,200,1,80,0,0,,
60,0.65,200,1,100,0,0,,
61,1.05,320,1.5,80,0,0,,
62,1.05,320,1.5,100,0,0,,
63,1.05,300,1.5,80,0,0,,
64,1.05,300,1.5,100,0,0,,
65,1.05,280,1.5,80,0,0,,
66,1.05,280,1.5,100,0,0,,
67,1.05,260,1.5,80,0,0,,
68,1.05,260,1.5,100,0,0,,
69,1.05,200,1.5,80,0,0,,
70,1.05,200,1.5,100,0,0,,
71,0.6,320,0.75,0,0,0,,
72,0.6,320,0.75,20,0,0,,
73,0.6,320,0.75,30,0,0,,
74,0.6,320,0.75,50,0,0,,
75,0.6,320,0.75,70,0,0,,
76,0.55,320,0.75,0,0,0,,
77,0.55,320,0.75,20,0,0,,
78,0.55,320,0.75,30,0,0,,
79,0.55,320,0.75,50,0,0,,
80,0.55,320,0.75,70,0,0,,
81,0.5,320,0.75,0,0,0,,
82,0.5,320,0.75,20,0,0,,
83,0.5,320,0.75,30,0,0,,
84,0.5,320,0.75,50,0,0,,
85,0.5,320,0.75,70,0,0,,
86,0.45,320,0.75,0,0,0,59.1,143
87,0.45,320,0.75,20,0,0,61.5,150
88,0.45,320,0.75,30,0,0,61.5,154
89,0.45,320,0.75,50,0,0,56.3,157
90,0.45,320,0.75,70,0,0,,
91,0.6,300,0.75,0,0,0,,
92,0.6,300,0.75,20,0,0,,
93,0.6,300,0.75,30,0,0,,
94,0.6,300,0.75,50,0,0,,
95,0.6,300,0.75,70,0,0,,
96,0.55,300,0.75,0,0,0,50.9,136
97,0.55,300,0.75,20,0,0,52.7,142
98,0.55,300,0.75,30,0,0,57.3,147
99,0.55,300,0.75,50,0,0,53.8,151
100,0.55,300,0.75,70,0,0,,
101,0.5,300,0.75,0,0,0,,
102,0.5,300,0.75,20,0,0,,
103,0.5,300,0.75,30,0,0,,
104,0.5,300,0.75,50,0,0,,
105,0.5,300,0.75,70,0,0,,
106,0.45,300,0.75,0,0,0,,
107,0.45,300,0.75,20,0,0,,
108,0.45,300,0.75,30,0,0,,
109,0.45,300,0.75,50,0,0,,
110,0.45,300,0.75,70,0,0,,
111,0.6,280,0.75,0,0,0,39.2,128
112,0.6,280,0.75,20,0,0,42.4,136
113,0.6,280,0.75,30,0,0,42.4,140
114,0.6,280,0.75,50,0,0,48.4,144
115,0.6,280,0.75,70,0,0,,
116,0.55,280,0.75,0,0,0,,
117,0.55,280,0.75,20,0,0,,
118,0.55,280,0.75,30,0,0,,
119,0.55,280,0.75,50,0,0,,
120,0.55,280,0.75,70,0,0,,
121,0.5,280,0.75,0,0,0,,
122,0.5,280,0.75,20,0,0,,
123,0.5,280,0.75,30,0,0,,
124,0.5,280,0.75,50,0,0,,
125,0.5,280,0.75,70,0,0,,
126,0.45,280,0.75,0,0,0,,
127,0.45,280,0.75,20,0,0,,
128,0.45,280,0.75,30,0,0,,
129,0.45,280,0.75,50,0,0,,
130,0.45,280,0.75,70,0,0,,
131,0.6,260,0.75,0,0,0,,
132,0.6,260,0.75,20,0,0,,
133,0.6,260,0.75,30,0,0,,
134,0.6,260,0.75,50,0,0,,
135,0.6,260,0.75,70,0,0,,
136,0.55,260,0.75,0,0,0,,
137,0.55,260,0.75,20,0,0,,
138,0.55,260,0.75,30,0,0,,
139,0.55,260,0.75,50,0,0,,
140,0.55,260,0.75,70,0,0,,
141,0.5,260,0.75,0,0,0,,
142,0.5,260,0.75,20,0,0,,
143,0.5,260,0.75,30,0,0,,
144,0.5,260,0.75,50,0,0,,
145,0.5,260,0.75,70,0,0,,
146,0.45,260,0.75,0,0,0,,
147,0.45,260,0.75,20,0,0,,
148,0.45,260,0.75,30,0,0,,
149,0.45,260,0.75,50,0,0,,
150,0.45,260,0.75,70,0,0,,
151,0.6,200,0.75,0,0,0,,
152,0.6,200,0.75,20,0,0,,
153,0.6,200,0.75,30,0,0,,
154,0.6,200,0.75,50,0,0,,
155,0.6,200,0.75,70,0,0,,
156,0.55,200,0.75,0,0,0,,
157,0.55,200,0.75,20,0,0,,
158,0.55,200,0.75,30,0,0,,
159,0.55,200,0.75,50,0,0,,
160,0.55,200,0.75,70,0,0,,
161,0.5,200,0.75,0,0,0,,
162,0.5,200,0.75,20,0,0,,
163,0.5,200,0.75,30,0,0,,
164,0.5,200,0.75,50,0,0,,
165,0.5,200,0.75,70,0,0,,
166,0.45,200,0.75,0,0,0,,
167,0.45,200,0.75,20,0,0,,
168,0.45,200,0.75,30,0,0,,
169,0.45,200,0.75,50,0,0,,
170,0.45,200,0.75,70,0,0,,
171,0.7,320,1,0,0,0,,
172,0.7,320,1,20,0,0,,
173,0.7,320,1,30,0,0,,
174,0.7,320,1,50,0,0,,
175,0.7,320,1,70,0,0,,
176,0.65,320,1,0,0,0,,
177,0.65,320,1,20,0,0,,
178,0.65,320,1,30,0,0,,
179,0.65,320,1,50,0,0,,
180,0.65,320,1,70,0,0,,
181,0.7,300,1,0,0,0,,
182,0.7,300,1,20,0,0,,
183,0.7,300,1,30,0,0,,
184,0.7,300,1,50,0,0,,
185,0.7,300,1,70,0,0,,
186,0.65,300,1,0,0,0,,
187,0.65,300,1,20,0,0,,
188,0.65,300,1,30,0,0,,
189,0.65,300,1,50,0,0,,
190,0.65,300,1,70,0,0,,
191,0.7,280,1,0,0,0,,
192,0.7,280,1,20,0,0,,
193,0.7,280,1,30,0,0,,
194,0.7,280,1,50,0,0,,
195,0.7,280,1,70,0,0,,
196,0.65,280,1,0,0,0,,
197,0.65,280,1,20,0,0,,
198,0.65,280,1,30,0,0,,
199,0.65,280,1,50,0,0,,
200,0.65,280,1,70,0,0,,
201,0.7,260,1,0,0,0,32,119
202,0.7,260,1,20,0,0,37.5,126
203,0.7,260,1,30,0,0,39.7,130
204,0.7,260,1,50,0,0,38.6,135
205,0.7,260,1,70,0,0,,
206,0.65,260,1,0,0,0,,
207,0.65,260,1,20,0,0,,
208,0.65,260,1,30,0,0,,
209,0.65,260,1,50,0,0,,
210,0.65,260,1,70,0,0,,
211,0.7,200,1,0,0,0,,
212,0.7,200,1,20,0,0,,
213,0.7,200,1,30,0,0,,
214,0.7,200,1,50,0,0,,
215,0.7,200,1,70,0,0,,
216,0.65,200,1,0,0,0,,
217,0.65,200,1,20,0,0,,
218,0.65,200,1,30,0,0,,
219,0.65,200,1,50,0,0,,
220,0.65,200,1,70,0,0,,
221,1.05,320,1.5,0,0,0,,
222,1.05,320,1.5,20,0,0,,
223,1.05,320,1.5,30,0,0,,
224,1.05,320,1.5,50,0,0,,
225,1.05,320,1.5,70,0,0,,
226,1.05,300,1.5,0,0,0,,
227,1.05,300,1.5,20,0,0,,
228,1.05,300,1.5,30,0,0,,
229,1.05,300,1.5,50,0,0,,
230,1.05,300,1.5,70,0,0,,
231,1.05,280,1.5,0,0,0,,
232,1.05,280,1.5,20,0,0,,
233,1.05,280,1.5,30,0,0,,
234,1.05,280,1.5,50,0,0,,
235,1.05,280,1.5,70,0,0,,
