Idx_Sample,SiO2,CaO,SO3,FA (kg/m3),GGBFS (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Total aggregates,Na2SiO3,Na2O (Dry),Sio2 (Dry),Superplasticizer,water -eff,Slump - Target (mm),CO2 (kg/t) - A-priori Information,fc 28-d - Target (MPa)
1399,52.295,12.58,0.27,252,108,1090.8,774.0,1864.8,115.71429,13.31,34.71,14.4,107.80714,,112.66807,
1400,52.295,12.58,0.27,252,108,1090.8,774.0,1864.8,128.57143,14.79,38.57,14.4,118.82571,,120.44818,
1401,52.295,12.58,0.27,252,108,1090.8,774.0,1864.8,141.42857,16.26,42.43,14.4,129.84429,,128.2283,
1402,52.295,12.58,0.27,252,108,1090.8,774.0,1864.8,154.28571,17.74,46.29,14.4,140.86286,,136.00841,
1403,52.295,12.58,0.27,294,126,966.0,810.6,1776.6,135.0,15.53,40.5,16.8,125.775,,129.53088,
1404,52.295,12.58,0.27,294,126,966.0,810.6,1776.6,150.0,17.25,45.0,16.8,138.63,,138.60768,
1405,52.295,12.58,0.27,294,126,966.0,810.6,1776.6,165.0,18.98,49.5,16.8,151.485,,147.68448,
1406,52.295,12.58,0.27,294,126,966.0,810.6,1776.6,180.0,20.7,54.0,16.8,164.34,,156.76128,
1407,52.295,12.58,0.27,315,135,972.0,760.5,1732.5,144.64286,16.63,43.39,18.0,134.75893,,137.96229,
1408,52.295,12.58,0.27,315,135,972.0,760.5,1732.5,160.71429,18.48,48.21,18.0,148.53214,,147.68743,
1409,52.295,12.58,0.27,315,135,972.0,760.5,1732.5,176.78571,20.33,53.04,18.0,162.30536,,157.41257,
1410,52.295,12.58,0.27,315,135,972.0,760.5,1732.5,192.85714,22.18,57.86,18.0,176.07857,,167.13771,
1411,49.69,15.44,0.36,216,144,1090.8,774.0,1864.8,115.71429,13.31,34.71,14.4,107.80714,,114.39607,
1412,49.69,15.44,0.36,216,144,1090.8,774.0,1864.8,128.57143,14.79,38.57,14.4,118.82571,,122.17618,
1413,49.69,15.44,0.36,216,144,1090.8,774.0,1864.8,141.42857,16.26,42.43,14.4,129.84429,,129.9563,
1414,49.69,15.44,0.36,216,144,1090.8,774.0,1864.8,154.28571,17.74,46.29,14.4,140.86286,,137.73641,
