Idx_Sample,(W/C) [Water/Cement ratio]	,[CEM]Cement content	,[F/C] Factor Fine/Coarse (*),Fine Rec Agg % (**)	,Coarse Rec Agg % (***),RAg.T [Recycled Aggregates Types] (****)
1,0,220,0,0,0,0
2,0,220,0,0,0,1
3,0,220,0,0,20,0
4,0,220,0,0,20,1
5,0,220,0,0,30,0
6,0,220,0,0,30,1
7,0,220,0,0,50,0
8,0,220,0,0,50,1
9,0,220,0,0,70,0
10,0,220,0,0,70,1
11,0,220,0,0,80,0
12,0,220,0,0,80,1
13,0,220,0,0,100,0
14,0,220,0,0,100,1
15,0,220,0,20,0,0
16,0,220,0,20,0,1
17,0,220,0,20,20,0
18,0,220,0,20,20,1
19,0,220,0,20,30,0
20,0,220,0,20,30,1
21,0,220,0,20,50,0
22,0,220,0,20,50,1
23,0,220,0,20,70,0
24,0,220,0,20,70,1
25,0,220,0,20,80,0
26,0,220,0,20,80,1
27,0,220,0,20,100,0
28,0,220,0,20,100,1
29,0,220,0,30,0,0
30,0,220,0,30,0,1
31,0,220,0,30,20,0
32,0,220,0,30,20,1
33,0,220,0,30,30,0
34,0,220,0,30,30,1
35,0,220,0,30,50,0
36,0,220,0,30,50,1
37,0,220,0,30,70,0
38,0,220,0,30,70,1
39,0,220,0,30,80,0
40,0,220,0,30,80,1
41,0,220,0,30,100,0
42,0,220,0,30,100,1
43,0,220,0,50,0,0
44,0,220,0,50,0,1
45,0,220,0,50,20,0
46,0,220,0,50,20,1
47,0,220,0,50,30,0
48,0,220,0,50,30,1
49,0,220,0,50,50,0
50,0,220,0,50,50,1
51,0,220,0,50,70,0
52,0,220,0,50,70,1
53,0,220,0,50,80,0
54,0,220,0,50,80,1
55,0,220,0,50,100,0
56,0,220,0,50,100,1
57,0,220,0,70,0,0
58,0,220,0,70,0,1
59,0,220,0,70,20,0
60,0,220,0,70,20,1
61,0,220,0,70,30,0
62,0,220,0,70,30,1
63,0,220,0,70,50,0
64,0,220,0,70,50,1
65,0,220,0,70,70,0
66,0,220,0,70,70,1
67,0,220,0,70,80,0
68,0,220,0,70,80,1
69,0,220,0,70,100,0
70,0,220,0,70,100,1
71,0,220,0,80,0,0
72,0,220,0,80,0,1
73,0,220,0,80,20,0
74,0,220,0,80,20,1
75,0,220,0,80,30,0
76,0,220,0,80,30,1
77,0,220,0,80,50,0
78,0,220,0,80,50,1
79,0,220,0,80,70,0
80,0,220,0,80,70,1
81,0,220,0,80,80,0
82,0,220,0,80,80,1
83,0,220,0,80,100,0
84,0,220,0,80,100,1
85,0,220,0,100,0,0
86,0,220,0,100,0,1
87,0,220,0,100,20,0
88,0,220,0,100,20,1
89,0,220,0,100,30,0
90,0,220,0,100,30,1
91,0,220,0,100,50,0
92,0,220,0,100,50,1
93,0,220,0,100,70,0
94,0,220,0,100,70,1
95,0,220,0,100,80,0
96,0,220,0,100,80,1
97,0,220,0,100,100,0
98,0,220,0,100,100,1
99,0,220,75,0,0,0
100,0,220,75,0,0,1
101,0,220,75,0,20,0
102,0,220,75,0,20,1
103,0,220,75,0,30,0
104,0,220,75,0,30,1
105,0,220,75,0,50,0
106,0,220,75,0,50,1
107,0,220,75,0,70,0
108,0,220,75,0,70,1
109,0,220,75,0,80,0
110,0,220,75,0,80,1
111,0,220,75,0,100,0
112,0,220,75,0,100,1
113,0,220,75,20,0,0
114,0,220,75,20,0,1
115,0,220,75,20,20,0
116,0,220,75,20,20,1
117,0,220,75,20,30,0
118,0,220,75,20,30,1
119,0,220,75,20,50,0
120,0,220,75,20,50,1
121,0,220,75,20,70,0
122,0,220,75,20,70,1
123,0,220,75,20,80,0
124,0,220,75,20,80,1
125,0,220,75,20,100,0
126,0,220,75,20,100,1
127,0,220,75,30,0,0
128,0,220,75,30,0,1
129,0,220,75,30,20,0
130,0,220,75,30,20,1
131,0,220,75,30,30,0
132,0,220,75,30,30,1
133,0,220,75,30,50,0
134,0,220,75,30,50,1
135,0,220,75,30,70,0
136,0,220,75,30,70,1
137,0,220,75,30,80,0
138,0,220,75,30,80,1
139,0,220,75,30,100,0
140,0,220,75,30,100,1
141,0,220,75,50,0,0
142,0,220,75,50,0,1
143,0,220,75,50,20,0
144,0,220,75,50,20,1
145,0,220,75,50,30,0
146,0,220,75,50,30,1
147,0,220,75,50,50,0
148,0,220,75,50,50,1
149,0,220,75,50,70,0
150,0,220,75,50,70,1
151,0,220,75,50,80,0
152,0,220,75,50,80,1
153,0,220,75,50,100,0
154,0,220,75,50,100,1
155,0,220,75,70,0,0
156,0,220,75,70,0,1
157,0,220,75,70,20,0
158,0,220,75,70,20,1
159,0,220,75,70,30,0
160,0,220,75,70,30,1
161,0,220,75,70,50,0
162,0,220,75,70,50,1
163,0,220,75,70,70,0
164,0,220,75,70,70,1
165,0,220,75,70,80,0
166,0,220,75,70,80,1
167,0,220,75,70,100,0
168,0,220,75,70,100,1
169,0,220,75,80,0,0
170,0,220,75,80,0,1
171,0,220,75,80,20,0
172,0,220,75,80,20,1
173,0,220,75,80,30,0
174,0,220,75,80,30,1
175,0,220,75,80,50,0
176,0,220,75,80,50,1
177,0,220,75,80,70,0
178,0,220,75,80,70,1
179,0,220,75,80,80,0
180,0,220,75,80,80,1
181,0,220,75,80,100,0
182,0,220,75,80,100,1
183,0,220,75,100,0,0
184,0,220,75,100,0,1
185,0,220,75,100,20,0
186,0,220,75,100,20,1
187,0,220,75,100,30,0
188,0,220,75,100,30,1
189,0,220,75,100,50,0
190,0,220,75,100,50,1
191,0,220,75,100,70,0
192,0,220,75,100,70,1
193,0,220,75,100,80,0
194,0,220,75,100,80,1
195,0,220,75,100,100,0
196,0,220,75,100,100,1
197,0,220,1,0,0,0
198,0,220,1,0,0,1
199,0,220,1,0,20,0
200,0,220,1,0,20,1
201,0,220,1,0,30,0
202,0,220,1,0,30,1
203,0,220,1,0,50,0
204,0,220,1,0,50,1
205,0,220,1,0,70,0
206,0,220,1,0,70,1
207,0,220,1,0,80,0
208,0,220,1,0,80,1
209,0,220,1,0,100,0
210,0,220,1,0,100,1
211,0,220,1,20,0,0
212,0,220,1,20,0,1
213,0,220,1,20,20,0
214,0,220,1,20,20,1
215,0,220,1,20,30,0
216,0,220,1,20,30,1
217,0,220,1,20,50,0
218,0,220,1,20,50,1
219,0,220,1,20,70,0
220,0,220,1,20,70,1
221,0,220,1,20,80,0
222,0,220,1,20,80,1
223,0,220,1,20,100,0
224,0,220,1,20,100,1
225,0,220,1,30,0,0
226,0,220,1,30,0,1
227,0,220,1,30,20,0
228,0,220,1,30,20,1
229,0,220,1,30,30,0
230,0,220,1,30,30,1
231,0,220,1,30,50,0
232,0,220,1,30,50,1
233,0,220,1,30,70,0
234,0,220,1,30,70,1
235,0,220,1,30,80,0
236,0,220,1,30,80,1
237,0,220,1,30,100,0
238,0,220,1,30,100,1
239,0,220,1,50,0,0
240,0,220,1,50,0,1
241,0,220,1,50,20,0
242,0,220,1,50,20,1
243,0,220,1,50,30,0
244,0,220,1,50,30,1
