Idx_Sample,(W/C) [Water/Cement ratio]	,[CEM]Cement content	,CO2
1,0,220.0,
2,0,240.0,
3,0,260.0,
4,0,280.0,
5,0,300.0,
6,0,320.0,
7,45-0,220.0,
8,45-0,240.0,
9,45-0,260.0,
10,45-0,280.0,
11,45-0,300.0,
12,45-0,320.0,
13,5-0,220.0,
14,5-0,240.0,
15,5-0,260.0,
16,5-0,280.0,
17,5-0,300.0,
18,5-0,320.0,
19,55-0,220.0,
20,55-0,240.0,
21,55-0,260.0,
22,55-0,280.0,
23,55-0,300.0,
24,55-0,320.0,
25,6-0,220.0,
26,6-0,240.0,
27,6-0,260.0,
28,6-0,280.0,
29,6-0,300.0,
30,6-0,320.0,
31,65-0,220.0,
32,65-0,240.0,
33,65-0,260.0,
34,65-0,280.0,
35,65-0,300.0,
36,65-0,320.0,
37,7-0,220.0,
38,7-0,240.0,
39,7-0,260.0,
40,7-0,280.0,
41,7-0,300.0,
42,7-0,320.0,
43,75,220.0,
44,75,240.0,
45,75,260.0,
46,75,280.0,
47,75,300.0,
48,75,320.0,
